Visual Apparent Magnitude,Distance,Distance Error,BV,Spectral Type
7.66,20.44,0.96,0.741,G5IV
8.59,14.36,2.44,0.616,G2V
11.55,16.27,2.71,1.260,M0
7.9,13.90,0.84,0.303,F0
8.54,4.59,1.4,0.230,A7V
9.58,12.24,1.44,0.700,G5V
8.44,6.36,0.90,0.456,F0
8.59,0.56,0.85,0.360,B0I
8.1,10.62,1.46,0.406,F3
8.29,5.58,1.2,0.540,G0
9.62,6.67,0.97,0.657,F8V
7.26,5.48,1.25,0.355,F0
7.91,5.53,0.62,0.314,F0III
9.45,2.7,1.37,1.115,G8
8.19,1.20,0.84,0.260,O8e
12.14,6.48,4.13,,
8.93,9.88,1.18,0.607,G2
7.65,3.93,0.97,0.992,G8IV
8.53,8.18,1.0,0.491,F5
7.38,6.15,0.89,1.3,K0
8.56,14.48,1.7,0.615,F8
8.76,0.82,1.22,1.692,M0
9.56,2.4,1.28,0.390,A2
7.9,4.24,0.92,0.85,B8V
9.83,9.20,1.50,0.699,G5
5.90,0.89,0.58,0.274,A1III
10.80,1.88,2.21,0.882,G
8.41,6.58,0.94,0.563,F6V
9.5,5.54,1.44,0.160,
8.79,0.7,0.98,0.80,B0
8.88,5.57,1.9,0.253,A0
7.59,1.47,0.77,1.680,K5
9.60,11.87,1.49,0.750,G5
10.66,-1.21,1.79,1.450,B
8.55,4.12,0.84,0.37,A1V
8.11,14.91,1.1,0.484,F6V
9.44,0.58,1.57,1.69,G8IV
9.60,7.92,1.55,0.549,G0V
5.78,11.29,0.92,1.84,K0III
10.66,6.82,2.40,1.500,
6.38,7.75,0.91,0.6,A1V
8.80,5.27,1.12,1.31,K1III
7.79,2.46,0.85,0.89,B3V
8.60,16.79,1.13,0.640,G5
7.77,4.10,1.6,0.58,
10.37,21.14,1.62,1.100,
9.80,22.52,1.48,0.855,K0V
10.42,12.99,1.76,0.800,
11.63,5.72,6.20,0.971,
9.22,3.1,1.40,1.1,K0
4.99,2.3,0.93,1.619,
8.43,9.89,1.10,0.611,G0
7.33,10.92,0.64,0.444,F2V
8.93,0.95,0.79,1.25,G8III
9.9,17.9,0.88,0.639,
9.26,4.67,0.93,1.162,K2
8.73,3.40,0.93,1.36,K0III
9.18,0.43,1.49,1.169,K2III
8.12,2.15,1.5,2.530,C5II
9.26,1.99,1.57,1.149,K0III
8.94,1.59,1.32,1.181,K1IV
6.11,1.94,1.12,0.159,B9III
9.13,1.38,0.79,0.239,
7.90,4.83,1.3,1.249,K2
9.34,1.26,1.47,0.950,K0
7.13,2.46,0.81,1.260,K1III
10.82,0.81,2.56,1.21,M5
7.46,4.15,0.66,1.72,
8.72,1.39,1.34,1.508,K2
7.2,6.13,1.59,1.100,K0
9.8,6.13,1.59,,
8.37,4.4,1.18,0.881,K0
5.59,5.70,0.53,0.100,B8III
7.37,11.46,0.84,0.422,F5IV
5.68,10.30,0.58,1.51,K1III
8.56,7.35,1.12,0.792,G5
8.72,2.46,1.14,0.14,A2
9.6,4.16,1.20,0.368,F0V
8.82,4.8,1.20,0.433,F0
8.18,5.84,1.20,0.376,A5
9.39,9.37,2.81,0.735,G5
9.10,0.59,1.2,0.652,B2
8.46,1.61,0.92,0.556,F2
9.15,5.46,1.38,0.394,A3
8.28,5.65,1.16,0.2,A0IV
11.67,4.86,2.61,,
8.18,6.95,1.91,0.430,G0
7.93,10.47,1.53,0.478,F5
9.21,3.5,1.34,0.964,K0
6.9,27.18,4.30,0.632,G2V
8.31,3.15,1.10,0.36,
7.83,2.91,0.97,1.256,K2III
8.72,3.73,1.10,0.82,A0
6.61,2.13,0.82,0.25,B3V
6.25,5.34,0.77,1.368,K4IIIb
7.82,39.6,0.93,0.755,G9V
8.66,3.49,1.20,1.614,K5
8.15,6.2,0.81,0.475,F5
8.97,11.56,1.31,0.674,G3V
