Visual Apparent Magnitude,Distance,Distance Error,BV,Spectral Type
9.5,1.1,1.33,1.640,K5
7.72,18.22,0.95,0.620,G0V
8.3,7.70,0.96,0.364,A3
6.47,8.65,0.94,0.242,A4Vm
5.57,11.17,0.72,1.43,G9III
6.32,7.0,0.74,0.738,G4IV
7.78,6.49,0.82,0.417,
11.65,22.50,2.96,1.260,M1
8.58,10.46,1.13,0.714,G5
10.37,3.89,1.60,0.432,F2
9.23,6.32,1.8,0.383,F5
9.20,8.35,1.16,0.811,G8V
6.93,16.9,0.75,0.800,G5
11.73,42.82,2.61,1.493,
9.32,4.32,1.37,0.549,F6V
7.11,8.73,0.77,0.476,F5
9.79,0.11,1.41,1.10,K1
8.21,2.98,1.1,1.339,K3III
8.42,1.37,1.61,1.400,K1
7.5,3.15,0.72,0.122,B5V
9.26,6.75,1.19,0.671,G3V
2.28,59.89,0.56,0.380,
8.77,4.80,2.4,0.461,G5
9.25,5.87,1.8,0.537,G0
9.30,4.36,1.46,0.972,K2III
10.63,12.20,9.40,0.525,
9.90,4.56,1.26,0.561,F8
9.89,6.48,1.77,0.617,F8
9.33,17.75,1.21,0.812,G0
7.78,22.7,2.31,0.680,G0
7.2,17.3,0.69,0.932,K0
11.26,5.8,2.0,,
8.89,1.97,1.11,1.33,G8III
9.60,7.75,1.28,0.446,F6V
7.7,19.28,0.79,0.644,G2III
6.1,8.56,1.17,0.203,A7IV
5.42,14.57,1.34,0.414,F3V
9.11,11.89,1.31,0.830,
8.24,1.42,1.15,0.80,B5V
8.97,6.32,1.20,0.442,F0
3.88,23.28,0.98,1.13,K0III
8.59,7.58,1.20,0.484,F5
7.17,4.96,0.74,0.31,B9
7.94,13.80,1.30,0.660,G3V
7.27,4.21,1.0,1.220,G5
9.59,1.88,1.40,0.490,G0
7.94,2.8,1.14,1.439,K0
8.52,16.26,0.98,0.687,G3V
7.59,5.36,0.88,1.5,G8IV
9.17,1.78,1.37,1.29,K1III
8.8,4.57,0.82,1.68,K1III
9.80,3.3,1.50,0.524,
8.92,8.17,1.89,0.499,F5V
9.91,4.45,1.34,0.355,F0V
9.42,4.76,2.1,1.565,
8.84,2.91,1.13,1.128,K0
10.15,1.40,2.33,1.500,
8.37,3.25,1.50,0.952,G8III
9.33,0.54,1.36,1.630,
9.35,0.55,1.21,0.75,B8
7.40,4.31,0.70,1.571,M2III
8.35,6.90,1.41,0.437,
9.53,23.86,1.59,0.965,
9.59,6.24,1.42,0.469,F5
10.5,0.16,1.39,0.486,F8
8.57,13.92,1.11,0.644,G3V
8.48,5.62,1.4,0.560,G0
8.43,12.54,1.23,0.906,G5
8.45,3.57,1.5,0.955,G5
8.84,17.8,1.86,0.833,K1V
11.18,1.31,1.92,,
8.64,14.21,4.23,0.716,G5
8.42,4.58,1.13,0.410,F5
6.34,7.37,0.57,0.164,A6V
7.93,2.27,1.15,1.301,K0
8.36,5.18,1.15,1.72,K0
8.32,18.80,1.5,0.595,
7.77,1.52,1.13,1.219,G5
6.84,2.68,1.6,1.611,K2
8.78,8.36,0.83,1.11,
7.19,4.44,0.79,0.974,K1II
8.50,1.70,1.10,1.166,K5
8.82,5.80,1.28,0.620,F8
9.4,7.14,1.7,0.542,G5
7.93,4.37,0.77,0.964,K0III
7.66,6.14,0.89,0.139,A2V
10.7,0.35,2.70,,
9.3,1.27,1.7,1.14,K0
5.54,10.4,0.86,0.64,B9V
5.29,13.45,0.50,1.49,
8.13,9.63,0.81,0.456,F3V
7.51,7.21,1.55,0.251,A3+
9.8,1.56,0.89,1.31,
7.10,10.24,1.21,0.345,F0
7.88,11.15,0.68,0.476,F5V
9.40,1.8,0.93,0.539,F8
9.6,4.59,1.12,0.293,A0
8.38,7.73,0.70,0.371,F5
10.65,10.83,2.10,1.77,K8
7.77,3.13,0.90,1.603,M
8.50,4.15,1.3,1.42,K0
8.61,3.5,1.8,1.156,G5
10.5,6.95,1.59,0.700,G0
8.71,3.60,1.1,0.594,F0
9.37,4.95,1.42,0.409,F0V
6.97,3.21,0.60,1.377,K3III
8.56,8.50,2.90,0.524,F5V
9.34,-2.57,1.52,0.815,G8V
9.47,6.10,1.56,0.526,F7V
8.11,4.74,0.83,1.32,K0
8.91,3.93,1.13,0.356,F0III
7.83,1.12,0.83,1.311,G8III
8.95,2.74,1.18,1.104,K0
7.20,2.98,0.81,0.53,B9
9.37,5.26,0.97,0.411,
5.84,18.18,0.92,0.973,K1III
5.1,3.24,0.68,0.405,F2II
9.81,3.85,1.39,0.437,F3V
9.27,2.76,1.18,1.120,K0
9.50,7.14,1.38,0.423,
9.32,4.82,1.18,0.511,F5V
8.92,13.53,1.28,0.578,G2V
8.38,10.15,1.4,0.508,F7V
7.74,10.35,0.82,0.473,A
8.60,3.27,1.20,1.42,K0
9.49,4.92,3.74,1.232,K2III
8.35,6.17,1.2,0.528,F7V
7.11,3.65,0.87,1.528,M4III
9.87,4.11,2.38,0.503,F2V
8.98,7.48,1.29,0.471,G0
7.75,1.83,1.7,1.487,K0
8.24,12.91,1.6,0.491,F6V
6.74,6.52,0.73,0.74,B7IV
6.83,4.74,0.76,1.429,K4III
7.70,7.10,0.92,0.144,A0
6.70,1.66,0.61,0.17,B1V
8.67,3.45,1.27,1.37,K0III
9.94,13.51,2.44,,
8.73,5.51,0.84,0.563,F7IV
9.63,0.66,1.37,1.462,M0
6.66,15.6,0.70,0.372,
8.29,5.16,0.87,0.77,A0
8.47,15.57,1.17,0.574,G5
8.16,2.91,0.97,1.165,K2
8.97,8.77,1.49,0.497,F5
7.51,18.20,0.91,0.503,F8
8.97,1.74,2.12,0.674,
8.55,4.38,1.15,0.692,G3V
5.84,15.35,0.74,1.0,K0III
7.85,3.75,0.81,0.99,B9
8.68,7.95,1.8,0.588,G2V
8.5,4.86,0.81,0.878,G5
8.27,1.62,0.92,0.146,B7V
7.68,3.48,1.4,1.28,K0III
9.40,9.43,1.0,0.551,F5IV
7.77,8.80,0.80,0.405,F2
6.89,4.70,0.82,0.951,K0III
7.55,2.46,0.87,1.354,M
8.27,7.77,2.24,0.517,
8.16,2.91,1.17,1.677,K5
8.7,2.95,0.80,0.15,B9
7.91,4.0,0.90,0.24,A0
7.71,2.25,0.98,1.253,
10.16,4.41,1.82,0.689,G2
8.41,16.45,0.95,0.575,G5
8.88,1.2,1.19,1.169,K1III
9.64,1.44,1.17,0.560,B5
7.93,3.61,1.11,1.96,K2
7.78,4.53,1.5,1.302,M3III
8.90,6.25,1.13,0.500,F5
8.55,12.60,1.18,0.435,F5V
9.15,9.37,1.25,0.477,F8
10.86,39.19,2.29,1.418,M2
11.55,24.32,3.25,1.395,M2V
9.8,0.90,1.37,1.76,G5
7.44,3.61,0.94,0.998,G5
10.35,0.33,1.60,1.269,M0
6.68,4.43,0.73,1.212,K1III
8.85,4.41,0.77,0.585,
8.90,8.36,1.21,0.473,F8
8.24,7.22,0.89,0.184,A2
6.74,3.88,0.89,1.25,G5
10.75,4.1,2.7,0.863,K0
8.44,2.61,1.17,1.330,K0
7.69,4.21,1.2,1.163,K2
4.89,52.94,0.77,0.487,F5V
11.80,6.13,5.67,0.570,F4
8.88,4.78,1.23,1.140,K2III
7.70,5.9,1.26,1.200,
8.60,15.8,1.10,0.700,G6V
8.44,1.58,1.5,0.127,A3V
9.50,35.69,5.14,1.254,K7
9.3,0.82,1.19,1.406,K0
7.15,6.6,0.67,1.4,K0
7.95,29.35,0.95,0.755,K0V
8.23,18.60,0.91,0.581,G0
9.81,4.63,1.57,0.515,G0
8.48,11.58,1.13,0.473,F3V
9.33,3.47,1.90,0.940,K0
8.97,20.86,2.16,0.807,
8.8,2.54,1.14,1.122,K2
7.47,2.26,0.85,1.532,K0
8.34,4.31,1.11,0.409,F3V
7.75,4.71,0.89,1.152,K2III
8.34,17.0,0.82,0.619,G4V
5.41,5.61,0.92,1.346,K2III
7.56,9.91,1.48,0.551,F8
6.93,7.77,0.88,0.994,K0III
10.3,21.87,24.76,1.293,K2
8.69,6.73,1.13,0.185,A0
9.4,27.46,1.9,0.891,K1V
8.32,4.4,1.9,1.120,K2
7.85,7.57,1.6,0.561,F7V
7.21,4.78,0.59,0.916,G8III
8.98,3.36,1.48,0.966,K0IV
7.9,2.16,0.77,0.137,
8.85,8.1,0.94,0.518,F6V
9.21,0.53,1.2,0.142,A0V
8.61,20.55,1.21,0.643,G0
7.91,7.11,1.8,1.126,K0p
7.47,2.14,1.60,0.200,B8
8.65,5.8,1.17,1.0,K0
8.53,6.88,1.58,0.515,F5
9.92,29.15,1.54,1.71,K5V
8.9,4.25,0.94,0.228,B9
5.24,45.85,0.66,0.459,
7.6,1.15,0.74,0.630,
8.45,10.91,1.15,0.481,F5V
8.73,9.29,1.9,0.646,
7.45,7.81,0.96,0.891,G5
9.2,16.48,1.49,0.599,G3V
7.51,12.79,1.43,0.491,F5
7.32,1.99,0.98,0.38,A0
8.17,1.34,1.10,1.140,K0III
9.45,4.21,1.44,0.260,A0
9.72,9.92,1.46,0.557,G1V
9.34,10.46,1.33,0.695,G5V
8.75,4.77,1.28,1.125,G5
9.32,3.89,1.25,0.625,G3V
7.91,10.93,1.5,0.392,F2V
7.49,2.5,0.98,1.600,K4III
6.53,7.97,0.79,1.41,K0III
6.18,5.93,0.70,1.467,K4III
8.69,2.85,1.26,0.403,F0
6.58,6.88,0.76,0.990,K0III
7.80,0.15,0.90,1.634,M1III
7.19,10.90,0.86,0.398,F0
8.17,3.49,1.1,1.48,K0
6.56,6.5,0.87,1.74,K0III
8.73,38.88,1.22,1.45,K0
7.62,17.21,0.76,0.758,
8.66,10.57,1.33,0.430,F5
8.68,0.0,1.19,1.290,K2III
8.20,2.97,0.97,1.269,K0
8.96,3.11,1.44,1.243,K0
7.36,6.68,0.87,1.82,K0
6.87,9.42,0.74,0.262,F0
7.60,3.46,0.87,1.314,K0
5.29,5.33,0.87,1.478,K4III
9.12,4.88,1.22,0.479,F8
8.25,9.81,1.21,0.448,F5V
7.43,10.44,0.83,0.335,F0
8.88,1.79,1.24,1.47,
7.95,0.41,0.93,1.537,M
7.69,2.89,0.85,1.709,M
8.94,4.70,1.22,1.151,K2III
10.58,8.64,1.94,0.600,G0
10.5,9.10,1.47,0.643,
8.88,2.1,1.30,0.934,G5
9.0,5.47,0.93,0.415,F3V
8.24,3.99,1.2,1.583,K5
8.18,19.39,1.0,0.669,G5
9.91,2.90,1.53,0.521,F6V
8.88,1.76,1.1,0.22,A0
8.44,24.69,1.20,0.739,K0
8.73,15.32,1.34,0.707,K0V+
9.12,4.61,1.40,0.471,F3V
9.23,5.62,1.23,0.995,K0III
8.66,21.9,1.23,0.743,
8.88,4.78,1.4,0.352,F0
8.14,5.39,1.46,0.364,F0V
11.67,34.54,11.74,1.480,
7.44,0.7,0.83,1.522,K0
7.22,1.73,0.60,0.54,B9.5IV
6.50,6.30,0.82,1.112,K0
10.7,2.7,1.54,0.724,G2
7.1,5.28,0.80,1.106,K0
8.15,5.91,0.96,0.29,A1V
7.95,15.34,0.99,0.945,K1IV
8.18,1.12,0.96,1.363,K0
10.72,4.48,2.9,0.565,F8
9.56,7.6,1.25,0.659,F8V
8.51,4.18,0.96,0.873,G6III
7.22,4.68,1.6,1.51,K0
7.53,4.24,0.87,0.980,K0III
9.27,8.4,1.34,0.790,G5
10.78,3.81,1.97,0.650,
9.85,15.90,1.78,0.939,K0
7.34,2.37,0.83,1.639,K2
9.55,4.23,1.8,0.353,A5
8.19,2.79,1.21,1.345,K0
6.63,18.6,0.76,0.402,F2
8.63,4.71,1.17,1.100,K0
8.80,6.35,1.36,0.725,
9.86,5.72,1.59,0.601,
6.71,1.21,0.80,0.116,B2V
7.22,49.18,0.78,0.775,K0V
8.49,1.97,1.24,1.630,K5III
7.37,2.47,0.94,1.619,M
10.51,5.93,1.93,0.570,G0
8.84,4.68,1.9,0.426,F5
10.54,0.3,1.54,0.820,
8.39,2.51,1.1,1.223,K0
8.19,7.41,1.7,0.407,F0
7.94,0.92,0.81,0.501,A9Iab
8.62,5.43,1.70,0.505,F8
10.59,-4.40,4.78,,
7.80,2.95,0.75,1.99,F2V
7.17,8.9,0.76,0.202,A2
10.74,27.50,1.94,1.308,K5
10.10,5.52,1.48,0.584,F8
6.66,6.7,0.95,0.961,
9.94,5.79,1.76,0.626,G0V
7.69,5.76,0.84,0.958,G5
7.62,4.70,0.84,1.217,K0
11.44,1.56,3.2,1.200,M0V
8.75,11.11,1.11,0.401,F5
7.58,6.40,1.12,1.97,K0
9.2,9.18,0.94,0.489,F5
9.3,3.85,1.46,1.263,K2III
10.41,24.96,2.95,1.360,M0
6.52,7.17,0.78,1.50,K1III
8.17,0.86,1.15,0.899,G8III
7.57,14.72,0.86,0.453,F5IV
10.1,2.43,2.22,0.856,G0
10.68,5.84,3.90,0.689,G2
8.39,3.67,0.99,1.50,G5
8.5,1.79,1.13,1.165,K2
6.63,8.55,0.63,0.226,Am
9.17,5.6,1.33,1.5,K0
7.55,5.66,0.98,1.240,
7.21,3.38,0.91,1.530,
2.83,9.79,0.81,0.190,B2IV
12.49,37.30,6.34,1.400,M6
7.44,5.17,0.92,1.279,
8.83,4.39,1.10,1.136,K0
7.98,11.12,1.8,0.396,F2V
7.45,10.64,0.90,0.480,
7.72,10.64,0.91,0.333,F0
5.78,4.0,0.49,1.710,
7.32,3.60,0.78,0.61,A0
6.24,8.8,1.15,0.680,G0III
10.24,0.12,1.55,0.570,B2.5V
9.86,28.30,1.48,1.190,K7
8.72,3.88,1.27,1.37,K2III
10.88,1.80,1.42,0.390,
8.44,2.49,0.99,1.79,K0III
10.68,1.92,5.38,0.738,
10.77,36.74,2.54,1.444,
8.84,4.32,0.97,1.202,K2III
9.5,30.0,1.25,0.913,K1V
5.71,28.57,0.74,0.331,F0IV
9.58,1.79,1.52,1.0,K2
8.58,4.9,1.12,0.178,A5IV
8.20,4.67,0.89,0.83,A0
7.98,7.3,0.89,0.214,A2
9.22,2.87,1.9,0.993,K0III
11.14,51.12,3.31,1.556,M0
7.26,4.88,0.76,1.257,K0
10.96,11.12,2.34,0.952,
8.65,5.97,3.4,0.442,F2
5.94,3.22,0.83,1.548,K5III
8.99,4.25,1.45,1.134,K0III
8.8,7.52,1.27,1.55,G5
6.14,4.23,0.80,1.490,K4III
8.59,4.6,1.13,0.97,A0
6.97,9.78,0.91,0.180,A5IV
6.86,6.48,0.94,1.96,
7.41,13.8,0.96,0.440,F2
8.73,1.46,1.1,0.117,B3
8.7,9.34,0.82,0.559,G0
8.54,2.50,1.15,1.310,K2III
6.79,2.79,0.81,1.257,K0
8.96,8.59,1.20,0.465,F0
9.8,1.55,1.24,1.155,K0
9.48,1.40,1.24,1.580,M2
8.90,1.9,1.7,1.633,K5
9.9,6.24,1.95,0.631,G5V
8.76,22.86,0.87,0.743,G6V
7.15,14.45,0.76,0.513,F6V
7.39,3.24,1.3,0.165,B4V
8.93,10.74,1.17,0.628,G1V
8.74,0.3,1.25,1.297,K0
6.91,3.11,0.74,1.120,G8II
9.42,24.14,1.58,0.962,K0
7.41,4.28,0.90,0.947,G6III
9.22,6.69,1.23,0.523,G0
8.79,0.45,1.0,0.115,A0
6.22,11.13,0.73,0.9,A1V
7.17,3.49,0.60,1.626,M4III
8.40,5.52,1.5,0.398,F4V
8.60,3.20,1.34,0.416,A5
6.97,2.40,0.59,1.341,K2III
10.11,7.21,3.21,,
8.36,23.68,1.19,0.645,G5
9.23,2.66,1.35,1.120,K0
8.25,1.26,0.84,1.735,M2
7.70,3.42,0.80,0.661,A0
7.0,9.36,0.88,0.534,F7IV
7.32,21.66,1.17,0.521,F5
8.60,3.59,1.14,1.70,G5
10.25,5.70,1.83,0.450,F5
8.8,13.44,0.89,0.461,F5V
7.84,0.69,1.8,1.195,G8III
7.70,4.17,0.83,1.468,K2
6.66,21.62,0.68,0.462,
7.99,3.0,1.2,1.145,K0
8.20,4.10,0.77,0.214,A7IV
7.84,4.39,1.4,0.35,A0
7.42,20.23,1.20,0.640,G5V
10.20,2.39,2.31,0.794,G5
6.63,2.53,0.62,1.697,M1III
6.89,18.19,0.90,0.502,F7V
8.51,22.51,1.49,0.730,G8III
9.0,1.72,1.27,0.356,A5
9.42,11.19,1.50,0.831,
7.72,2.65,0.65,1.29,G5
8.17,7.15,1.41,0.563,F8V
7.19,3.74,0.97,1.340,K0
8.93,7.55,1.12,0.618,
8.8,3.32,1.5,1.251,K2III
8.23,10.93,0.98,0.475,F2
8.31,2.65,0.95,0.15,B8
5.13,5.21,0.79,1.601,
10.17,2.69,1.46,0.472,
9.54,0.50,1.48,1.71,K2
6.95,12.17,0.82,0.494,F5V
9.17,0.10,1.27,0.984,F8Iab
8.85,4.21,1.40,1.10,
6.68,4.48,0.83,1.172,K0
8.77,1.39,1.44,1.534,M1III
9.49,8.31,1.44,0.476,F6V
8.27,1.62,1.56,0.200,A0
4.79,10.1,0.77,1.572,M2III
7.3,11.81,0.82,0.461,F5
8.69,0.43,1.10,1.401,K3III
4.44,6.62,0.82,1.640,M1III
8.90,2.74,1.19,1.64,K0III
9.18,13.85,1.37,0.657,G3V
9.10,12.12,1.40,0.681,G0
8.71,0.97,1.17,1.367,
6.63,7.76,0.78,1.30,
7.92,3.2,1.40,1.200,K0IV
8.10,3.37,0.99,0.67,A0
8.67,0.11,1.9,1.62,K2
8.40,1.29,0.82,0.169,B9V
7.13,3.93,0.77,1.170,K2III
11.83,4.81,3.12,,
10.22,6.24,2.5,0.610,G0
8.49,8.41,0.87,0.528,F6V
6.82,11.33,0.89,0.257,A7III
9.89,2.62,3.11,,
10.4,13.96,1.97,0.840,F5
8.62,7.9,1.1,0.556,F8
8.12,4.97,1.66,0.300,A5
8.1,6.81,2.18,0.445,F3V
5.77,9.40,0.78,0.84,B9V
6.64,4.57,0.91,1.499,M0
6.25,9.18,0.71,0.4,A1p
7.6,4.35,1.8,1.0,K2
6.17,4.41,0.87,1.344,K3III
6.2,12.47,1.28,0.312,F0IV
7.58,15.91,3.90,0.396,A7
8.10,0.76,1.12,1.477,K4III
8.41,6.97,1.11,0.492,F8
8.16,0.78,0.82,1.304,K2
8.99,8.5,1.45,0.428,F3V
7.68,1.79,0.85,1.188,G5
9.9,9.36,1.24,0.530,G0V
7.67,1.80,1.0,0.86,B9
9.72,4.47,1.42,1.73,K0
8.57,22.90,0.93,0.695,G6V
7.34,6.25,0.88,1.20,K0
6.34,2.47,0.72,1.555,K5
8.44,2.2,0.91,1.330,K2II
9.9,4.90,1.41,0.397,A4:m
7.99,10.99,0.83,0.389,F2
9.14,1.88,1.28,1.245,K0III
9.91,2.73,1.49,0.807,F7
8.98,5.97,1.17,0.505,F8
6.35,7.92,0.82,0.2,A1Vn
8.17,3.42,1.12,1.109,K0
8.71,3.54,0.92,1.639,M1III
8.39,4.95,1.3,0.912,K0III
8.66,6.57,1.23,0.942,G5
8.71,1.26,1.25,1.498,
9.13,8.77,2.31,0.514,
10.55,2.16,1.67,0.671,F5.5
9.40,6.0,1.26,0.478,
10.36,12.24,2.14,0.890,K3
7.50,5.94,1.63,1.32,K0:III
9.69,4.87,8.60,0.575,
11.67,0.79,2.6,0.650,
8.70,5.26,1.11,0.408,F2V
8.35,0.30,0.97,1.491,K0
7.75,9.22,1.18,1.15,K0
7.67,7.89,1.3,0.417,F3IV
9.70,1.95,1.38,0.560,F6V
6.76,4.5,0.76,0.46,B9
7.33,10.91,0.81,0.441,F5
9.12,3.79,0.94,0.580,F2III
7.89,2.13,2.65,1.80,
8.53,5.97,1.1,0.245,A8V
8.79,3.77,1.17,0.904,
9.46,3.66,1.24,0.479,G5
10.66,14.39,2.84,1.88,K3
9.11,1.67,1.22,0.42,B9
11.49,191.86,17.24,1.750,M
7.65,5.43,0.88,1.184,
9.16,2.84,1.77,0.57,B8
7.87,4.9,1.0,1.600,K2
9.8,2.43,0.86,1.391,
7.45,0.47,0.85,1.620,K0
9.16,2.99,2.47,1.60,G1V
6.98,3.45,0.95,1.151,K0
8.78,2.32,0.88,1.113,
10.0,8.16,1.71,0.680,G0
8.93,6.48,1.40,0.518,F8
9.44,0.86,1.43,1.190,K0
8.45,3.36,1.15,1.214,
8.24,7.49,0.84,0.364,F0
8.57,5.22,1.13,0.453,F2
8.27,0.87,0.99,0.1,A0
8.54,11.65,0.80,0.551,F7V
7.90,4.17,0.77,0.45,B9
8.88,2.24,1.98,0.120,A0V
10.44,3.86,1.94,0.640,G0
8.46,0.92,1.4,1.639,K0
10.83,1.85,1.98,0.392,B8
7.48,6.68,1.41,0.949,G8IV
8.40,2.17,1.4,0.322,A5
9.5,10.45,1.30,0.557,G0
8.64,0.51,1.0,0.215,A0
6.43,5.76,0.67,0.838,G8III
6.49,4.63,0.54,0.983,
8.77,1.77,1.26,1.108,
9.88,1.63,1.45,1.98,K2
7.13,7.32,0.94,0.46,A0
8.5,3.9,0.95,0.941,G5
8.57,13.96,1.25,0.568,F8
9.76,19.25,1.67,0.740,G8V
8.43,2.19,1.41,0.100,A5IV
8.39,5.7,1.11,1.320,K2
11.58,41.32,3.89,1.647,M5
8.7,1.15,0.97,1.599,M0III
10.42,2.87,1.63,0.470,F2
9.22,5.18,1.48,0.537,F7V
10.37,2.7,1.83,0.564,F8
8.24,3.36,0.87,1.289,K2III
9.1,4.43,1.33,1.15,
9.12,3.18,0.79,0.230,A
7.59,7.44,0.97,0.323,A5
9.11,0.2,1.35,1.267,K2III
5.66,7.64,0.83,1.350,K2III
8.83,0.46,1.11,1.601,M0
9.35,13.79,1.38,0.655,G5V
9.2,5.96,1.11,0.420,F5
8.54,1.94,0.91,1.618,M0III
6.59,56.76,0.53,0.749,G6V
8.79,23.91,1.17,0.965,K2
6.35,5.28,0.96,0.44,B9Vn
11.79,49.91,21.56,1.485,M
8.92,14.92,0.97,0.718,G
9.58,0.86,1.58,0.710,G0
9.53,9.32,6.16,0.785,
9.74,8.67,1.46,0.569,G0V
9.74,7.65,0.94,0.446,F8
6.12,10.75,0.98,0.68,A2V
8.69,5.9,1.37,0.423,F5
8.78,12.54,1.22,0.623,G3V
7.90,13.71,1.21,0.673,G3V
9.7,9.45,1.22,0.586,
7.88,2.94,0.85,1.287,K2III
11.6,21.82,2.32,1.258,K5
7.18,5.8,0.61,0.251,F0V
7.22,1.87,0.82,1.25,G5
9.20,5.56,1.31,0.466,F3V
9.18,5.71,1.22,0.588,F8V
7.74,5.56,0.73,1.167,K2III
7.81,4.61,0.90,0.933,G8III
7.34,1.69,0.93,1.201,K0III
9.75,4.55,1.49,0.450,F3V
8.56,5.38,1.18,0.486,F3V
7.15,7.65,0.85,0.222,A8V
6.12,7.38,0.92,0.919,
8.32,9.88,1.16,0.387,A5
8.52,11.21,1.18,0.240,F8
12.38,44.82,3.44,1.530,M4
9.74,4.68,1.55,0.505,G1
9.61,4.59,1.43,0.587,F5
6.98,3.31,1.11,1.600,M5III
8.15,0.57,1.10,1.304,K2
9.51,1.53,1.48,1.90,K0
8.90,3.99,1.14,1.403,K3III
7.43,8.28,1.13,0.266,A3
6.67,5.89,0.85,1.77,K0III
6.50,5.33,0.85,0.108,
9.67,1.73,1.42,0.532,F5V
6.99,7.18,0.87,0.50,A0
10.1,23.92,1.54,0.950,K3
8.58,10.38,0.96,0.590,F8
7.74,11.15,1.30,0.472,G0
8.32,3.10,0.92,0.30,B9
9.20,,0.667,,
7.46,10.0,0.89,0.167,A3
6.51,0.95,0.92,1.864,M2III
8.3,7.47,1.0,0.435,F5V
6.78,9.6,0.56,0.451,F3III
9.21,2.99,1.10,0.0,A
10.4,7.98,1.59,0.493,F8
8.88,7.36,1.32,0.453,F3V
7.18,5.7,0.80,1.71,G5
8.67,30.0,0.82,0.855,K0
8.53,5.3,1.13,0.261,A9V
6.84,43.45,1.19,0.655,G2V
8.94,15.6,1.47,0.625,G0
6.52,1.42,0.70,1.775,M0
9.23,13.42,1.36,0.557,G1Vw
6.95,7.17,0.84,1.60,
5.74,5.8,0.58,0.898,G8III
7.88,2.69,0.75,0.75,A0
7.65,5.29,0.80,1.122,K1III
7.75,3.20,1.5,0.13,B9
9.36,8.4,2.38,0.463,G0
8.50,2.13,1.31,1.143,K2
7.80,5.55,0.66,0.204,A2
9.20,6.89,3.64,0.471,F5
9.1,3.92,1.9,0.932,
7.61,3.50,0.80,0.53,A0
8.65,2.51,1.23,1.404,K2
8.38,7.32,1.25,0.787,G5
4.61,12.88,1.31,0.59,A2V
7.63,1.80,0.84,1.665,K5
8.99,66.71,1.12,1.370,M0
8.44,6.52,1.11,0.440,F3V
8.91,4.97,1.14,1.132,K0
10.51,1.88,1.90,0.530,F5
5.86,3.42,0.65,0.79,B7III
10.18,0.76,1.56,1.157,K0
10.67,9.21,2.6,0.628,
8.50,7.35,0.88,0.469,F5V
8.64,2.54,1.2,0.467,F2V
7.90,7.2,0.85,0.97,A2
9.51,0.44,1.47,0.80,
8.83,3.91,1.20,1.78,K0
8.53,4.36,1.13,1.259,K0
7.93,3.27,0.84,0.46,B9
7.96,27.32,0.84,0.651,
8.56,4.15,0.88,0.95,A0V
9.6,2.47,1.51,1.150,K5
8.96,9.83,1.29,0.637,G5
11.54,42.65,2.77,1.505,M
10.7,0.90,1.24,0.349,
9.73,12.73,5.66,0.660,G0
10.51,23.30,3.17,1.310,K
8.78,9.72,3.9,0.630,F5
8.54,1.63,1.9,0.970,
9.36,8.38,2.39,0.547,F7V
8.30,11.28,0.79,0.524,F6V
6.66,15.31,1.35,0.589,F5
9.32,7.11,1.37,0.929,
9.26,2.79,1.10,1.70,K0III
7.71,11.30,1.39,0.599,F8
11.36,24.12,2.91,1.220,K7
11.30,22.54,2.33,1.400,M1
8.82,10.73,1.10,0.552,G0
9.28,0.84,1.12,1.600,N0v
6.46,20.47,0.89,0.386,F3V
10.83,20.51,12.73,1.249,
7.57,3.92,0.79,0.958,G5
8.25,10.52,0.72,0.589,G0IV
12.12,-14.53,4.60,1.40,
11.30,21.80,1.97,1.310,K7
7.89,7.31,0.89,0.20,A2
10.42,17.10,1.77,0.998,
8.35,6.34,1.6,0.317,A3
9.9,14.58,1.15,0.635,G5
10.99,28.38,2.31,1.414,M0
7.67,8.6,0.76,0.271,A8IV
9.37,5.32,0.99,0.293,A5
6.11,0.57,0.69,0.151,
9.16,1.49,1.21,0.82,A2
7.88,0.23,1.86,1.400,G5
10.40,4.90,1.83,0.708,K3IV
10.43,17.0,2.22,1.0,
7.79,12.92,0.73,0.772,K0:Ib
6.19,9.89,0.98,0.937,K0II
8.26,4.3,1.16,1.104,K0
10.1,3.81,1.55,0.286,
7.10,5.41,1.2,0.900,G5
7.92,6.42,0.66,0.621,F8V
9.35,0.60,1.67,1.458,K3V
7.21,21.66,0.87,0.477,F6V
7.71,2.77,0.76,0.41,B2.5V
6.91,1.68,0.88,1.585,
9.56,8.35,1.47,0.577,
8.66,3.88,1.15,0.282,A5
9.26,3.67,1.44,1.98,K2
9.44,2.93,1.36,0.443,G0
7.38,6.13,0.94,1.29,K0
7.53,4.63,0.97,0.312,A5
9.38,2.64,1.36,1.111,K0
8.88,16.24,1.26,0.542,F9V
12.22,4.74,3.94,0.717,K7
6.54,7.14,0.82,0.970,G8II
8.17,4.72,1.16,0.995,K0III
8.47,8.19,1.55,0.324,F2
9.94,16.75,1.48,0.820,G9
11.3,2.58,3.32,0.767,
6.51,38.24,0.85,0.599,G2V
7.71,1.67,0.93,1.382,K0
9.92,-1.58,10.49,0.504,F5
9.16,4.17,4.73,0.433,F5
8.30,2.18,0.90,0.49,A0
8.15,1.54,1.17,1.397,K3III
8.53,4.7,0.84,0.898,K0III
9.26,5.40,1.50,1.238,
9.76,3.49,1.2,0.483,
9.70,8.82,1.54,0.624,
9.35,2.90,1.28,0.921,G8IV
7.20,12.21,0.97,0.309,F0
